[1] 138'107193/119966
[2] 613'775/1169
[3] 8'1205/7482
[4] 421'20/29
[5] 2'33/455
[6] 314/3857
[7] 204'5287/13098
[8] 19139/92568
[9] 63732/5626109
[10] 43'39277/95880
[11] 49'185/728
[12] 1'8028127/14349335
[13] 24'78626/141075
[14] 1581'185/297
[15] 13106'6/49
[16] 116365/2101281
[17] 825/2042
[18] 3625/7293
[19] 112'137/162
[20] 7941'21/65
[21] 333585/71626406
[22] 142'41/5921
[23] 2802'3490/9231
[24] 19423'1/25
[25] 1'10/1197
[26] 164'6647/15379
[27] 22084073/51304260
[28] 86'470/1971
[29] 10714'1250/5427
[30] 11'10316/36465
[31] 466'31/165
[32] 76'1705/1717
[33] 14197'2912/3667
[34] 503/1176
[35] 800'199/5063
[36] 332639/390522
[37] 2'5799/9568
[38] 11149'2/7
[39] 13/52029
[40] 1'14829779/18882240
[41] 5939/78925
[42] 5031'5387/6105
[43] 4933'121/138
[44] 91'3254/4015
[45] 14'9674/15725
[46] 254592/313403
[47] 303352'884/1043
[48] 174'1375/1508
[49] 263'8937/11005
[50] 34'2319/89380
[51] 298
[52] 7'12179/35295
[53] 185'1157/2268
[54] 13'45935/46604
[55] 20219'69/193
[56] 92'11323/16726
[57] 713/362600
[58] 7'681/962
[59] 96'206087/608493
[60] 2'191/1272
[61] 28/8835
[62] 1'610/55601
[63] 169248/297553
[64] 24'22133/47311
[65] 193050/33971161
[66] 39'215587/355453
[67] 5854'423/520
[68] 353'19/28
[69] 493145/774774
[70] 99'6134/9909
[71] 6'127/153
[72] 40880/362331
[73] 206'166205/669606
[74] 2002/979695
[75] 200'472827/1261448
[76] 6853678/77535825
[77] 131'231393/389795
[78] 52043/90090
[79] 8257'3127/3185
[80] 4120/4473
[81] 1701/3520
[82] 143'106547/115995
[83] 288'20001/26866
[84] 37'9999/48530
[85] 209'1252/7735
[86] 3'86816/95703
[87] 4'78710/533577
[88] 381'1137/1504
[89] 79'187/1512
[90] 408'520341/997975
[91] 4'311/1040
[92] 1'16647991/36215970
[93] 57/26690
[94] 67'257/7733
[95] 10638'27/28
[96] 380841/29438375
[97] 8'6474/62275
[98] 5772/6493
[99] 175493653/877045620
[100] 2174681/21621600
[101] 145005/8755918
[102] 271'4537/14025
[103] 219'11519/13871
[104] 190'14479/34200
[105] 58'760279/889350
[106] 3'20397/23000
[107] 5288175/8309602
[108] 668392/7740733
[109] 2'410/539
[110] 5070/104027
[111] 260'1329/3968
[112] 7881/532400
[113] 1'14348/1220769
[114] 2'374041/497475
[115] 16'14800/182621
[116] 4620'517/558
[117] 211'264052/403383
[118] 121'2719/18104
[119] 169'204605/641018
[120] 90'7901/17512
[121] 59'11/105
[122] 33'22005/43493
[123] 2993/673920
[124] 281117/1955499
[125] 2664'13/22
[126] 125080/10250157
[127] 2499/32395
[128] 267/7004
[129] 15'147561/232372
[130] 534100/1908171
[131] 167690/919863
[132] 1390426/2208843
[133] 1'1026281/2422525
[134] 2'3793177/15082929
[135] 25'2025/8236
[136] 154'154/305
[137] 360'2489/18135
[138] 9660/152167
[139] 1662698/4626633
[140] 55'335/559
[141] 27523/73944
[142] 31525/40128
[143] 53194/159695
[144] 5'16229/28355
[145] 11049979/20342352
[146] 1'23505409/32247488
[147] 10585/8122156
[148] 301'3409/33108
[149] 21'317/360
[150] 45'1040492/1371651
[151] 1'18211/36525
[152] 33'11649/14110
[153] 1168307/11265696
[154] 82441/243100
[155] 39'561/949
[156] 48457/10005870
[157] 63/640
[158] 392688/772409
[159] 4'50612/128061
[160] 3459995/8564058
[161] 1'67383/108560
[162] 28'438176/899499
[163] 1'4053975/39197746
[164] 2711/14620
[165] 15169/275354
[166] 87'223487/1097343
[167] 15916793/19968795
[168] 9042111/15857600
[169] 402761/1152450
[170] 2279/580316
[171] 3609991/85628416
[172] 2182351/7631364
[173] 2300881/58080156
[174] 8'27796/34875
[175] 29808/9219593
[176] 1'2329507/5283008
[177] 17921/57960
[178] 8505371/15005250
[179] 56'381879/394081
[180] 3'11165639/13896792
[181] 277730/2954091
[182] 3075360/11357089
[183] 44766851/117435500
[184] 45541/421562
[185] 1'13993981/21242214
[186] 78'2387/60260
[187] 1775449/2489490
[188] 25972028/28940219
[189] 91996/516591
[190] 1'69176/432745
[191] 52'98887/186735
[192] 4'178161/426560
[193] 7113474/8388011
[194] 142'2450/26199
[195] 2'64978/663367
[196] 1'1646769/2173960
[197] 13121909/63876120
[198] 34'15584/16709
[199] 2'15791/88008
[200] 958033/1949220
[201] 173'5347/286794
[202] 121'88231/114121
[203] 184'39545/101556
[204] 12'52421/54912
[205] 20075/2376216
[206] 16'214936/258129
[207] 16268/16643
[208] 113'4/271
[209] 254483/832656
[210] 240435/292348
[211] 2852336/2857085
[212] 1987/15609
[213] 2'10111/60268
[214] 154386/329749
[215] 1176416/1931825
[216] 7'2698715/3326444
[217] 739643/17759280
